1,40,21,35,2,47,6,6,23,20,37,10,41
2,12,33,12,23,5,5,50,42,35,16,40,42
3,48,22,29,34,27,41,22,23,33,31,6,10
4,21,43,6,3,27,3,19,46,12,20,34,14
5,4,30,25,41,42,12,28,26,36,1,46,47
6,23,17,43,14,49,1,27,48,45,40,47,21
7,31,31,4,6,2,21,41,33,32,31,32,10
8,13,25,1,9,25,16,10,11,27,3,40,37
9,47,9,19,9,2,30,25,29,40,36,3,22
10,22,21,29,46,29,7,38,3,39,20,46,6
11,8,43,18,2,4,25,19,41,26,39,16,25
12,47,6,47,9,26,14,30,12,17,50,50,36
13,2,16,15,48,28,15,48,18,8,38,7,5
14,13,9,34,11,49,11,1,13,33,12,17,37
15,13,30,5,11,31,43,29,33,20,35,23,3
16,15,8,6,34,45,4,38,14,6,41,25,7
17,37,17,11,45,31,4,5,29,21,29,38,22
18,25,47,9,27,20,9,32,10,1,28,12,40
19,45,23,2,49,34,48,36,2,5,14,33,23
20,44,16,33,20,46,28,18,36,29,19,8,1
